"network.var.name";"network.unit";"network.long.description";"cf.var.name";"cf.unit";"cf.cell.method"
"1";"MINTMP";"celsius";NA;"air_temperature";"celsius";"time: minimum"
"2";"MAXTMP";"celsius";NA;"air_temperature";"celsius";"time: maximum"
"3";"PPT";"mm";NA;"lwe_thickness_of_precipitation_amount";"mm";"time: sum"
"4";"HUM1";"%";NA;"relative_humidity";"%";"time: point"
"5";"HUM2";"%";NA;"relative_humidity";"%";"time: point"
"6";"HUM3";"%";NA;"relative_humidity";"%";"time: point"
"7";"HUM4";"%";NA;"relative_humidity";"%";"time: point"
"8";"HUM1300";"%";NA;"relative_humidity";"%";"time: point"
"9";"SHOURS";"hours";NA;"duration_of_sunshine";"s";"time: sum"
