"network.var.name";"network.unit";"network.long.description";"cf.var.name";"cf.unit";"cf.cell.method"
"1";"tasmin";"celsius";"Minimum temperature";"air_temperature";"celsius";"time: maximum"
"2";"tasmax";"celsius";"Maximum temperature";"air_temperature";"celsius";"time: minimum"
"3";"pcp";"mm";"Accumulated precipitation";"lwe_thickness_of_precipitation_amount";"mm";"time: sum"
