network.var.name,network.unit,network.long.description,cf.var.name,cf.unit,cf.cell.method
TEMP_MEAN,celsius,"Present temperature",air_temperature,celsius,"time: mean"
PRECIP_TOTAL,mm,"Hourly precipitation",lwe_thickness_of_precipitation_amount,mm,"time: sum"
