network.var.name,network.unit,network.long.description,cf.var.name,cf.unit,cf.cell.method
MIN_TEMP,celsius,"Minimum daily temperature",air_temperature,celsius,"time: minimum"
MAX_TEMP,celsius,"Maximum daily temperature",air_temperature,celsius,"time: maximum"
ONE_DAY_PRECIPITATION,mm,"Daily precipitation",lwe_thickness_of_precipitation_amount,mm,"time: sum"
ONE_DAY_RAIN,mm,"Daily rainfall",thickness_of_rainfall_amount,mm,"time: sum"
ONE_DAY_SNOW,cm,"Daily snow accumulation",thickness_of_snowfall_amount,cm,"time: sum"
SNOW_ON_THE_GROUND,cm,"Amount of snow on the ground",surface_snow_thickness,cm,"time: point"
